model,metric,n_seeds,source_minus_random_mean,source_minus_random_std,source_minus_random_minimum,source_minus_random_maximum,source_minus_random_ci95_low_t,source_minus_random_ci95_high_t
source_only_logreg,false_negatives,3.0,4819.333333333333,95.3117691228808,4732.0,4921.0,4582.565773281544,5056.100893385122
source_only_logreg,false_positives,3.0,-33.0,6.082762530298219,-40.0,-29.0,-48.11041979313567,-17.88958020686433
source_only_logreg,log_loss,3.0,0.7974373795745408,0.10395221765796651,0.7027548255379292,0.9086728975448866,0.5392057554703076,1.055669003678774
source_only_logreg,macro_f1,3.0,-0.7400548415020132,0.004440700834125363,-0.7436949103400001,-0.7351071485276082,-0.7510861539106651,-0.7290235290933612
source_only_logreg,macro_precision,3.0,-0.8209345183133072,0.004555873040093621,-0.8248418720217758,-0.8159303629056096,-0.8322519343421504,-0.809617102284464
source_only_logreg,macro_recall,3.0,-0.4871861595895412,0.0016995138621854558,-0.488912221400144,-0.4855145000072536,-0.49140798606623853,-0.48296433311284387
source_only_logreg,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
source_only_logreg,true_negatives,3.0,-277.0,41.14608122288197,-320.0,-238.0,-379.2125320565032,-174.78746794349678
source_only_logreg,true_positives,3.0,-5515.0,11.532562594670797,-5528.0,-5506.0,-5543.648473654543,-5486.351526345457
source_only_logreg,weighted_f1,3.0,-0.8277422475480386,0.006174389468528866,-0.8318877887891198,-0.8206461362887446,-0.8430802812738453,-0.8124042138222319
tfidf_logreg,accuracy,3.0,-0.0019126783504498368,0.005274112462733192,-0.005922002388741743,0.00406190216112623,-0.015014300015137767,0.011188943314238094
tfidf_logreg,balanced_accuracy,3.0,0.006006619905584931,0.004898631952316592,0.0008432948282742769,0.01058869505512039,-0.00616225646314986,0.018175496274319723
tfidf_logreg,brier_score,3.0,0.0028885941122227324,0.003205976619033343,-0.0008047610281782039,0.004953519103814502,-0.0050754933101078165,0.010852681534553281
tfidf_logreg,ece_10,3.0,0.016458333387730967,0.004702308769837585,0.011699946308757897,0.021102482130281805,0.004777150840283122,0.028139515935178813
tfidf_logreg,false_negatives,3.0,68.66666666666667,40.67349669420289,23.0,101.0,-32.37190034015511,169.70523367348846
tfidf_logreg,false_positives,3.0,-88.66666666666667,19.5021366350801,-108.0,-69.0,-137.11265974157683,-40.22067359175651
tfidf_logreg,log_loss,3.0,0.009826491528746262,0.006928697308644389,0.0018570070950295892,0.014421426166384088,-0.00738534674896028,0.027038329806452804
tfidf_logreg,macro_f1,3.0,-0.0014294122515255598,0.006279634697401588,-0.006335936750343274,0.0056475200704215744,-0.017028889619356717,0.014170065116305596
tfidf_logreg,macro_precision,3.0,-0.009151301123701697,0.007855776030545216,-0.013708009958860012,-8.026531467031361e-05,-0.02866613061624338,0.010363528368839988
tfidf_logreg,macro_recall,3.0,0.006006619905584931,0.004898631952316592,0.0008432948282742769,0.01058869505512039,-0.00616225646314986,0.018175496274319723
tfidf_logreg,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
tfidf_logreg,true_negatives,3.0,-221.33333333333334,37.5410886008029,-244.0,-178.0,-314.5905672667483,-128.07609939991843
tfidf_logreg,true_positives,3.0,-764.3333333333334,81.0945949699074,-824.0,-672.0,-965.783474917199,-562.8831917494678
tfidf_logreg,weighted_f1,3.0,-0.0016205198687196203,0.005214350507993243,-0.005635058166221674,0.0042728865541927785,-0.014573684607910127,0.011332644870470887
