run_id,config_name,split_protocol,model,evaluation_split,seed,metric,value
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,ece_10,0.0126289076713217
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,true_negatives,2635.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,false_positives,29.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,false_negatives,83.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,true_positives,5506.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,accuracy,0.9669211195928752
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,balanced_accuracy,0.956422908415662
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,macro_precision,0.9676005915290952
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,macro_recall,0.956422908415662
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,macro_f1,0.961720418269352
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,weighted_f1,0.9667210926188936
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,brier_score,0.0324027955611777
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,log_loss,0.1417338732648039
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,ece_10,0.0660313585966394
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,true_negatives,2469.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,false_positives,195.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,false_negatives,78.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,validation,42,true_positives,5511.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,tfidf_logreg,test,42,accuracy,0.9647400945110868
